name	number of contigs	largest contig length	GC (%)	N50	L50	wuhCor1 match (%)	coverage
10_S51	1	29868	38.01%	29868	1	99.883%	200x
11_S36	4	18691	37.99%	18691	1	99.508%	200x
13_S24	2	15664	37.99%	15664	1	99.883%	200x
14_S25	2	22660	38.03%	22660	1	99.883%	200x
16_S45	1	29868	37.99%	29868	1	99.883%	200x
17_S3	6	18781	37.99%	18781	1	99.475%	200x
19_S4	20	2794	38.22%	1772	6	88.897%	200x
1_S1	2	28994	37.93%	28994	1	99.234%	200x
20_S26	1	29868	38.01%	29868	1	99.883%	200x
21_S37	1	29868	38.00%	29868	1	99.883%	200x
22_S30	2	29278	37.98%	29278	1	99.883%	200x
23_S38	1	30082	38.01%	30082	1	99.883%	200x
25_S5	1	30046	38.00%	30046	1	99.886%	200x
26_S39	9	13646	37.94%	3407	2	97.823%	200x
28_S6	5	15920	37.92%	15920	1	97.114%	200x
29_S31	1	29862	38.00%	29862	1	99.883%	200x
2_S29	1	29868	38.01%	29868	1	99.883%	200x
30_S47	2	27252	38.01%	27252	1	99.883%	200x
31_S27	1	29884	38.00%	29884	1	99.883%	200x
32_S7	1	29868	38.01%	29868	1	99.883%	200x
34_S50	3	15305	37.99%	15305	1	99.883%	200x
35_S32	1	29914	38.00%	29914	1	99.883%	200x
36_S8	2	24857	38.01%	24857	1	99.843%	200x
37_S43	4	14102	38.00%	7576	2	99.883%	200x
39_S35	9	5955	37.99%	3292	4	98.134%	200x
3_S22	2	17291	38.00%	17291	1	99.870%	200x
41_S19	1	29868	38.00%	29868	1	99.883%	200x
43_S9	1	29868	38.00%	29868	1	99.883%	200x
44_S11	1	29868	38.00%	29868	1	99.883%	200x
45_S48	11	5997	38.03%	3652	3	98.806%	200x
46_S20	2	24853	38.01%	24853	1	99.883%	200x
48_S12	2	26557	38.00%	26557	1	99.886%	200x
4_S23	1	30090	37.97%	30090	1	99.843%	200x
50_S40	2	25282	38.00%	25282	1	99.883%	200x
51_S34	1	29868	38.00%	29868	1	99.883%	200x
52_S41	3	23316	37.99%	23316	1	99.883%	200x
55_S13	1	29868	38.00%	29868	1	99.883%	200x
56_S14	1	29896	38.00%	29896	1	99.833%	200x
57_S15	1	29862	38.00%	29862	1	99.883%	200x
59_S49	4	20124	38.00%	20124	1	98.977%	200x
5_S2	1	29869	38.00%	29869	1	99.883%	200x
60_S10	1	29868	38.00%	29868	1	99.883%	200x
61_S21	1	29868	37.99%	29868	1	99.883%	200x
62_S44	1	30046	37.96%	30046	1	99.886%	200x
65_S33	1	29868	38.01%	29868	1	99.883%	200x
66_S52	1	29885	38.01%	29885	1	99.883%	200x
67_S53	3	21648	38.01%	21648	1	99.545%	200x
68_S18	6	9048	38.04%	8683	2	99.813%	200x
6_S46	6	13185	38.03%	8971	2	99.856%	200x
71_S16	1	29868	38.00%	29868	1	99.883%	200x
72_S28	1	29869	38.00%	29869	1	99.886%	200x
73_S17	2	20214	37.97%	20214	1	99.883%	200x
74_S54	13	5630	38.02%	3234	4	98.609%	200x
75_S55	11	5176	38.06%	3187	4	97.686%	200x
76_S56	9	8425	38.00%	7132	2	96.144%	200x
77_S57	1	29859	38.00%	29859	1	99.883%	200x
78_S58	1	29868	38.00%	29868	1	99.883%	200x
79_S59	7	9262	38.01%	7670	2	98.228%	200x
7_S42	1	29873	38.00%	29873	1	99.886%	200x
9_S69	3	15489	37.96%	15489	1	99.034%	200x
AL10_S65	5	22295	38.01%	22295	1	99.883%	200x
AL11_S66	16	4601	37.71%	2853	4	90.626%	200x
AL14_S67	12	8880	38.01%	2720	3	98.565%	200x
AL15_S68	16	5563	37.87%	2427	4	94.238%	200x
AL1_S60	22	4658	38.00%	1575	6	96.502%	200x
AL3_S61	1	29868	38.00%	29868	1	99.883%	200x
AL5_S62	6	21102	37.93%	21102	1	97.555%	200x
AL8_S63	14	7371	37.88%	4218	3	96.271%	200x
AL9_S64	3	17916	37.99%	17916	1	99.886%	200x
C8-20_S83	7	10436	38.01%	9703	2	99.689%	200x
C8-3_S78	4	11917	38.00%	9166	2	99.351%	200x
C8-4_S82	11	10448	37.97%	3806	3	99.154%	200x
L11_S71	1	29868	38.00%	29868	1	99.883%	200x
L13_S72	4	14408	37.97%	10158	2	99.622%	200x
L14_S76	2	15139	37.99%	15139	1	99.833%	200x
L15_S74	5	11247	38.03%	9252	2	99.883%	200x
L22_S70	1	29868	38.02%	29868	1	99.883%	200x
L24_S77	2	14960	38.01%	14960	1	99.826%	200x
L25_S84	7	7754	37.99%	5710	3	98.535%	200x
L31_S79	5	15691	37.97%	15691	1	99.846%	200x
L32_S80	4	12506	37.97%	11917	2	99.823%	200x
L34_S75	13	8543	37.98%	3827	3	99.746%	200x
L40_S81	5	11917	37.99%	10361	2	99.803%	200x
L41_S85	5	12849	38.00%	11392	2	99.806%	200x
L8_S73	2	15481	38.02%	15481	1	98.927%	200x
10_S51	1	29868	38.01%	29868	1	99.883%	300x
11_S36	17	4503	38.00%	2372	5	97.161%	300x
13_S24	1	29868	38.00%	29868	1	99.883%	300x
14_S25	2	22660	38.02%	22660	1	99.883%	300x
16_S45	1	30045	38.02%	30045	1	99.883%	300x
17_S3	7	18781	37.97%	18781	1	99.472%	300x
19_S4	20	2794	38.18%	1772	6	90.479%	300x
1_S1	2	28994	37.98%	28994	1	99.903%	300x
20_S26	1	29868	38.01%	29868	1	99.883%	300x
21_S37	2	29155	38.07%	29155	1	99.686%	300x
22_S30	1	30045	38.00%	30045	1	99.883%	300x
23_S38	1	29905	38.03%	29905	1	99.883%	300x
25_S5	1	30046	37.99%	30046	1	99.886%	300x
26_S39	6	14766	37.97%	8586	2	97.840%	300x
28_S6	7	12956	38.03%	5273	2	99.890%	300x
29_S31	1	29862	38.00%	29862	1	99.883%	300x
2_S29	1	29886	38.01%	29886	1	99.883%	300x
30_S47	8	17718	38.00%	17718	1	98.863%	300x
31_S27	1	29868	37.99%	29868	1	99.883%	300x
32_S7	1	29868	38.00%	29868	1	99.883%	300x
34_S50	6	14810	38.02%	5182	2	99.816%	300x
35_S32	1	29914	38.01%	29914	1	99.883%	300x
36_S8	3	20278	37.94%	20278	1	98.244%	300x
37_S43	5	11642	38.03%	10971	2	99.060%	300x
39_S35	9	5740	37.98%	3603	4	98.094%	300x
3_S22	1	29906	38.00%	29906	1	99.883%	300x
41_S19	1	29868	38.00%	29868	1	99.883%	300x
43_S9	3	13931	37.99%	11404	2	99.883%	300x
44_S11	1	29886	38.01%	29886	1	99.883%	300x
45_S48	12	8541	38.00%	3652	3	98.930%	300x
46_S20	1	29886	38.01%	29886	1	99.883%	300x
48_S12	1	29869	38.00%	29869	1	99.886%	300x
4_S23	1	29914	37.99%	29914	1	99.846%	300x
50_S40	2	25283	38.03%	25283	1	99.873%	300x
51_S34	1	30045	37.98%	30045	1	99.883%	300x
52_S41	3	18792	37.97%	18792	1	99.883%	300x
55_S13	1	29868	37.99%	29868	1	99.883%	300x
56_S14	1	29896	38.00%	29896	1	99.833%	300x
57_S15	1	29862	38.00%	29862	1	99.883%	300x
59_S49	1	29767	38.01%	29767	1	99.545%	300x
5_S2	1	29868	38.00%	29868	1	99.883%	300x
60_S10	1	29868	38.00%	29868	1	99.883%	300x
61_S21	3	14185	37.99%	8547	2	99.813%	300x
62_S44	2	25606	37.94%	25606	1	99.886%	300x
65_S33	1	30045	38.01%	30045	1	99.883%	300x
66_S52	1	29868	38.00%	29868	1	99.883%	300x
67_S53	2	26146	38.00%	26146	1	99.545%	300x
68_S18	6	17664	37.98%	17664	1	99.100%	300x
6_S46	7	14890	38.09%	5935	2	99.304%	300x
71_S16	1	29868	38.00%	29868	1	99.883%	300x
72_S28	1	29869	38.00%	29869	1	99.886%	300x
73_S17	1	29887	38.03%	29887	1	99.692%	300x
74_S54	13	5630	37.92%	3152	4	97.713%	300x
75_S55	23	1486	37.94%	756	17	100%	300x
76_S56	12	8826	37.96%	3900	3	97.378%	300x
77_S57	2	25417	37.98%	25417	1	99.883%	300x
78_S58	1	29868	38.00%	29868	1	99.883%	300x
79_S59	24	2487	37.65%	833	15	100%	300x
7_S42	2	27838	37.98%	27838	1	99.886%	300x
9_S69	4	11301	37.86%	8683	2	98.161%	300x
AL10_S65	6	22368	38.00%	22368	1	99.839%	300x
AL11_S66	26	2699	37.67%	1002	8	85.185%	300x
AL14_S67	5	23268	38.01%	23268	1	99.883%	300x
AL15_S68	21	2791	37.78%	965	11	100%	300x
AL1_S60	21	2984	38.09%	1372	7	86.503%	300x
AL3_S61	1	29868	38.00%	29868	1	99.883%	300x
AL5_S62	14	5769	37.88%	4580	3	97.268%	300x
AL8_S63	19	4422	37.86%	2042	5	94.863%	300x
AL9_S64	2	25358	38.01%	25358	1	99.860%	300x
C8-20_S83	7	11917	37.99%	10436	2	99.726%	300x
C8-3_S78	6	9372	37.99%	8140	2	99.819%	300x
C8-4_S82	6	22373	38.04%	22373	1	99.883%	300x
L11_S71	4	14223	37.98%	9230	2	98.947%	300x
L13_S72	10	7025	37.99%	4228	3	99.676%	300x
L14_S76	2	29359	37.99%	29359	1	99.856%	300x
L15_S74	4	25288	38.02%	25288	1	99.883%	300x
L22_S70	6	16105	37.97%	16105	1	99.883%	300x
L24_S77	5	13555	38.00%	8173	2	99.883%	300x
L25_S84	7	8491	37.99%	8183	2	98.519%	300x
L31_S79	12	7379	37.91%	2877	3	96.087%	300x
L32_S80	5	12330	38.00%	11922	2	99.796%	300x
L34_S75	2	28294	38.00%	28294	1	99.883%	300x
L40_S81	2	14959	38.00%	14959	1	99.819%	300x
L41_S85	5	14366	38.00%	12330	2	99.749%	300x
L8_S73	4	18092	38.00%	18092	1	99.883%	300x
